-GROUP-,Before Start
COCKPIT PREP,COMPLETE (BOTH)
GEAR PINS and COVERS,REMOVED
SIGNS,ON/AUTO
ADIRS,NAV
FUEL QUANTITY,__KG. / BALANCED
TAKEOFF DATA,SET
BARO REF,SET
WINDOWS / DOORS,CLOSED / ARMED (BOTH)
BEACON, ON
MOBILE PHONE,OFF (BOTH)
THRUST LEVERS,IDLE
PARKING BRAKE,SET
-GROUP-,After Start
ANTI ICE,As Req.
ECAM STATUS,CHECKED
PITCH TRIM,% SET
RUDDER TRIM,ZERO
-GROUP-,Before Takeoff
FLT CTL,CHECKED (BOTH)
FLT INSTRUMENTS,CHECKED (BOTH)
BRIEFING,CONFIRMED
FLAPS SETTING,CONF___ (BOTH)
FMA & TAKEOFF DATA,READ (PF)/ CHECKED (PNF)
TRANSPONDER,SET
ECAM MEMO,TAKEOFF NO BLUE
CABIN,SECURED FOR TAKEOFF
ENG MODE SEL,As Req.
TCAS,TA / RA
PACKS,As Req.
-GROUP-,After Takeoff
LANDING GEAR,UP
FLAPS,RETRACTED
PACKS,ON
BARO REF,STANDARD SET
-GROUP-,Approach
BRIEFING,CONFIRMED
ECAM STATUS,CHECKED
SEAT BELTS,ON
BARO REF,SET
MDA / DH,SET (BOTH)
ENG MODE SEL,As Req.
-GROUP-,Landing
CABIN,SECURED FOR LANDING
A / THR,SPEED / OFF
GO-AROUND,ALT FT SET
ECAM MEMO,LDG NO BLUE
-GROUP-,Engine Shutdown
APU BLEED,As Req.
Y ELEC,PUMP OFF
ENGINES,OFF
SEAT BELTS,OFF
EXT LT,As Req.
FUEL PUMPS,OFF
PARK BRK and CHOCKS,As Req.
MOBILE PHONE,ON
TRANSPONDER,STBY 2000
RADAR / PWS,OFF
-GROUP-,Aircraft Secure
ADIRS,OFF
OXYGEN,OFF
APU BLEED,OFF
EMER EXIT LT,OFF
NO SMOKING,OFF
APU AND BAT,OFF
