-GROUP-,Before Flight
SEAT PIN,IN
BAT MASTER,OFF
STARTER,Guarded OFF
IGNITION,Guarded OFF
LG HANDLE,DOWN
PCL,OFF
Command Ejection,OFF
Flight Controls,UNLOCKED
BAT MASTER,ON
CVR,Test
FDR Fault Annunciator,Test
BAT MASTER,OFF
-GROUP-,Before Start
EPU,As Req.
BAT MASTER,ON
OXYGEN,"ON &
NORM"
FLAPS,UP
ELT,Guarded ARM
INRT SEP,OFF
PROBES,OFF
LDG LIGHT,OFF
INVERTER,GEN
-CHECK-,Check INV caption extinguished
AVIONICS BAT,OFF
AVIONICS GEN,OFF
CLOCK,SET
LG HANDLE,DOWN
-CHECK-,Check three greens
ACCELEROMETER,RESET
MASTER CAUTION,RESET
FUEL USED,RESET
PARKING BRAKE,SET
CHOCKS,REMOVED
GEN MASTER,OFF
BOOST PUMPS,ARM
EXT FUEL TRANSFER PUMPS,OFF
INSTR LIGHTS,SET
NAV LIGHT,OFF
STROBE/BCN LIGHTS,OFF
ECS,OFF
SMOKE PANEL LAMP,TEST
SMOKE GEN MASTER,OFF
RAM AIR,CLOSED
-GROUP-,Engine Start
CANOPY,CLOSED & LOCKED
NAV LIGHT,ON
STROBE/BCN LIGHTS,BCN
BOOST PUMPS,ON
STARTER,ON
-CHECK-,Check ENG OIL pressure rising
IGNITION,ON
-CHECK-,Wait NG stabilised (minimum 12%)
PCL,IDLE
-CHECK-,Wait NG stabilised (minimum 56%)
IGNITION,Guarded OFF
STARTER,Guarded OFF
BOOST PUMPS,ARM
-GROUP-,After Start
EPU,Disconnected
BAT MASTER,ON
-CHECK-,Check CWS GEN caption only
GEN MASTER,ON
-CHECK-,Check CWS GEN caption OUT
INVERTER,BAT
AVIONICS BAT,ON
AVIONICS GEN,ON
ECS,LOW
-CHECK-,Check FLAPS indicating
-CHECK-,Check AIR BRAKE indicating
COMM1,SET
COMM2,SET
NAV/TAC,SET
ADF,SET
XPDR,STBY
XPDR CODE,SET
HSI MODE,SET
ALTIMETER QNH,SET
SEAT PIN,REMOVED & STOWED
-GROUP-,Taxi
PARKING BRAKE,ON
-CHECK-,Check brakes functional
NOSE WHEEL STEERING,ON
-GROUP-,Before Takeoff
CANOPY,CLOSED & LOCKED
-CHECK-,Check CANOPY light out
AIR BRAKE,IN
FLAPS,TAKE OFF
-CHECK-,Check FLAPS indicating
PROBES,ON
TRIMS,SET
-CHECK-,Check CWS no amber/red
OXYGEN,ON & NORM
SEAT PIN,REMOVED & STOWED
-GROUP-,Line Up
LDG LIGHT,ON
CLOCK,START
XPDR,As Req.
STROBE/BCN LIGHTS,As Req.
-GROUP-,Takeoff
BRAKES,RELEASE
PCL,MAX
-CHECK-,Wait 80 KIAS
-CHECK-,ROTATE
-GROUP-,After Takeoff
LG HANDLE,UP
FLAPS,UP
AIR BRAKE,IN
-CHECK-,"Check by 150 KIAS:
LG LIGHT OUT
FLAPS indicating UP
AIR BRAKE indicating IN"
-GROUP-,Before Landing
-CHECK-,Check below 150 KIAS
AIR BRAKE,IN
LG HANDLE,DOWN
-CHECK-,Check three greens
FLAPS,As Req.
LG HANDLE,DOWN
-GROUP-,After Landing
CLOCK,STOP
SEAT PIN,IN
Command Ejection,OFF
AIR BRAKE,IN
FLAPS,UP
PROBES,OFF
LDG LIGHT,OFF
XPDR,STBY
STROBE/BCN LIGHTS,BCN
-GROUP-,Engine Shutdown
PCL,IDLE
PARKING BRAKE,ON
SEAT PIN,IN
AVIONICS BAT,OFF
AVIONICS GEN,OFF
INVERTER,OFF
PCL,OFF
ECS,OFF
GEN MASTER,OFF
CHOCKS,IN
NAV LIGHTS,OFF
STROBE/BCN LIGHTS,OFF
BAT MASTER,OFF
PARKING BRAKE,As Req.
OXYGEN,OFF
Flight Controls,LOCKED
